ID,名前,肩書き,シリーズ番号,シリーズ,手持ち1,手持ち2,手持ち3,手持ち4,手持ち5,手持ち6,画像ファイル,くれるもの,地方,会える場所,表示順,タイプ,アニメ登場回
351,エリコ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ナゾノクサ,ポッポ,,,,,02_minisuka.PNG,240円とモンスターボール3個,カントー地方,25ばんどうろ,18,,
352,トモエ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,プリン,ニドリーナ,,,,,02_minisuka.PNG,320円とモンスターボール3個,カントー地方,11ばんどうろ,18,,
353,ミキ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ニャース,ニャース,ニャース,,,,02_minisuka.PNG,500円とモンスターボール3個,カントー地方,8ばんどうろ,18,,
354,マミ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ピカチュウ,,,,,,02_minisuka.PNG,500円とモンスターボール3個,カントー地方,8ばんどうろ,18,,
355,アコ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ナゾノクサ,,,,,,02_minisuka.PNG,560円,カントー地方,タマムシジム,18,,
356,ミサコ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,マダツボミ,マダツボミ,マダツボミ,,,,02_minisuka.PNG,560円,カントー地方,タマムシジム,18,,
357,ユウキ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ブースター,,,,,,02_minisuka.PNG,720円とモンスターボール3個,カントー地方,17ばんどうろ,18,,
358,リオ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,フシギダネ,,,,,,02_minisuka.PNG,,カントー地方,4ばんどうろ,18,,
359,ヤスコ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,フシギソウ,,,,,,02_minisuka.PNG,,カントー地方,14ばんどうろ,18,,
360,リンカ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,フシギバナ,,,,,,02_minisuka.PNG,,カントー地方,23ばんどうろ,18,,
361,イクエ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ピカチュウ,,,,,,02_minisuka.PNG,,カントー地方,トキワのもり,18,,
362,マイコ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ライチュウ,,,,,,02_minisuka.PNG,,カントー地方,ポケモンタワー,18,,
363,マユキ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ピッピ,,,,,,02_minisuka.PNG,,カントー地方,ヤマブキシティ,18,,
364,トモミ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ピクシー,,,,,,02_minisuka.PNG,,カントー地方,おつきみやま,18,,
365,ミカ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,プリン,,,,,,02_minisuka.PNG,,カントー地方,ニビシティ,18,,
366,ユウミ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,プクリン,,,,,,02_minisuka.PNG,,カントー地方,シルフカンパニー,18,,
367,マユカ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ナゾノクサ,,,,,,02_minisuka.PNG,,カントー地方,トキワシティ,18,,
368,サキコ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,クサイハナ,,,,,,02_minisuka.PNG,,カントー地方,ニビシティ,18,,
369,ショウコ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ラフレシア,,,,,,02_minisuka.PNG,,カントー地方,14ばんどうろ,18,,
370,ユイ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ニョロモ,,,,,,02_minisuka.PNG,,カントー地方,12ばんどうろ,18,,
371,マユミ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ニョロゾ,,,,,,02_minisuka.PNG,,カントー地方,ハナダシティ,18,,
372,リナ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,マダツボミ,,,,,,02_minisuka.PNG,,カントー地方,トキワシティ,18,,
373,ノリコ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ウツドン,,,,,,02_minisuka.PNG,,カントー地方,ポケモンタワー,18,,
374,マナオ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ウツボット,,,,,,02_minisuka.PNG,,カントー地方,タマムシシティ,18,,
375,レナ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,タマタマ,,,,,,02_minisuka.PNG,,カントー地方,24ばんどうろ,18,,
376,ヨシミ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ナッシー,,,,,,02_minisuka.PNG,,カントー地方,グレンタウン,18,,
377,ミヅキ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ラッキー,,,,,,02_minisuka.PNG,,カントー地方,セキチクシティ,18,,
378,リカ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,モンジャラ,,,,,,02_minisuka.PNG,,カントー地方,15ばんどうろ,18,,
379,アヤナ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,ラプラス,,,,,,02_minisuka.PNG,,カントー地方,ポケモンタワー,18,,
380,アオイ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,イーブイ,,,,,,02_minisuka.PNG,,カントー地方,17ばんどうろ,18,,
381,ユウ,ミニスカート,pv,Let's go!ピカチュウ・Let's go!イーブイ,シャワーズ,,,,,,02_minisuka.PNG,,カントー地方,タマムシデパート,18,,
382,リコ,ミニスカート,8,ソード・シールド,カムカメ,,,,,,02_minisuka.PNG,504円,ガラル地方,2ばんどうろ,19,,
383,ミチル,ミニスカート,8,ソード・シールド,ロコン,,,,,,02_minisuka.PNG,1008円,ガラル地方,3ばんどうろ,19,,
384,アケミ,おとなのおねえさん,2,金・銀,オタチ,オタチ,オタチ,,,,02_onesan.PNG,1496円,ジョウト地方,コガネジム,4,,
385,ナオコ,おとなのおねえさん,2,金・銀,ニャース,ニャース,,,,,02_onesan.PNG,1408円,ジョウト地方,コガネジム,4,,
386,ユリカ,おとなのおねえさん,2,金・銀,ハネッコ,ポポッコ,,,,,02_onesan.PNG,1496円,ジョウト地方,38ばんどうろ,4,,
387,ミスズ,おとなのおねえさん,2,金・銀,サニーゴ,,,,,,02_onesan.PNG,1672円,ジョウト地方,38ばんどうろ,4,,
388,アヤコ,おとなのおねえさん,2,金・銀,ラフレシア,バタフリー,,,,,02_onesan.PNG,2992円,ジョウト地方,アクアごう,4,,
389,ナツキ,おとなのおねえさん,2,金・銀,パラス,タマタマ,パラセクト,,,,02_onesan.PNG,3080円,ジョウト地方,タマムシジム,4,,
390,ユズカ,おとなのおねえさん,2c,ハートゴールド・ソウルシルバー,ピクシー,プクリン,,,,,02_onesan.PNG,896円,ジョウト地方,37ばんどうろ,11,,
391,レイコ,おとなのおねえさん,2c,ハートゴールド・ソウルシルバー,プクリン,ピクシー,,,,,02_onesan.PNG,896円,ジョウト地方,37ばんどうろ,11,,
392,ルーシィ,おとなのおねえさん,2c,ハートゴールド・ソウルシルバー,キレイハナ,,,,,,02_onesan.PNG,896円,ジョウト地方,アサギシティ,11,,
393,レイコ,おとなのおねえさん,1c,ファイアレッド・リーフグリーン,マダツボミ,マダツボミ,,,,,02_onesan.PNG,1728円,カントー地方,タマムシジム,7,,
394,セイコ,おとなのおねえさん,1c,ファイアレッド・リーフグリーン,ナゾノクサ,マダツボミ,ナゾノクサ,マダツボミ,,,02_onesan.PNG,1512円,カントー地方,タマムシジム,7,,
395,ヒトミ,おとなのおねえさん,1c,ファイアレッド・リーフグリーン,タマタマ,,,,,,02_onesan.PNG,1728円,カントー地方,タマムシジム,7,,
396,クニミ,おとなのおねえさん,1c,ファイアレッド・リーフグリーン,ピッピ,ニャース（ペルシアン）,,,,,02_onesan.PNG,2088円、3528円,カントー地方,13ばんどうろ,7,,
397,アユミ,おとなのおねえさん,1c,ファイアレッド・リーフグリーン,コラッタ,ピカチュウ,コラッタ,,,,02_onesan.PNG,1944円,カントー地方,13ばんどうろ,7,,
398,ナオコ,おとなのおねえさん,1c,ファイアレッド・リーフグリーン,フシギダネ,フシギソウ,,,,,02_onesan.PNG,2088円,カントー地方,15ばんどうろ,7,,
399,アキエ,おとなのおねえさん,1c,ファイアレッド・リーフグリーン,ピジョン（ピジョット）,プクリン,,,,,02_onesan.PNG,2088円、3528円,カントー地方,15ばんどうろ,7,,
400,ヒカリ,おとなのおねえさん,1c,ファイアレッド・リーフグリーン,ピチュー,メリープ,ププリン,ピィ,ニドラン♀,ニドラン♂,02_onesan.PNG,,カントー地方,トレーナーヒル,7,,
401,アツコ,おとなのおねえさん,3,ルビー・サファイア,トサキント,,,,,,02_onesan.PNG,1040円,ホウエン地方,うみのいえ,6,,
402,アサミ,おとなのおねえさん,3,ルビー・サファイア,ドンメル,,,,,,02_onesan.PNG,1760円,ホウエン地方,えんとつやま,6,,
403,クニミ,おとなのおねえさん,3,ルビー・サファイア,キノココ,,,,,,02_onesan.PNG,1760円,ホウエン地方,えんとつやま,6,,
404,メグミ,おとなのおねえさん,3,ルビー・サファイア,マリル,,,,,,02_onesan.PNG,1760円,ホウエン地方,えんとつやま,6,,
405,ヨリコ,おとなのおねえさん,3,ルビー・サファイア,カクレオン,ハブネーク,,,,,02_onesan.PNG,2400円、2640円、2880円、3120円、3360円,ホウエン地方,121ばんどうろ,6,,
406,マユコ,おとなのおねえさん,3,ルビー・サファイア,トサキント,ホエルコ,,,,,02_onesan.PNG,3200円,ホウエン地方,ルネジム,6,,
407,セイコ,おとなのおねえさん,3,ルビー・サファイア,マリルリ,,,,,,02_onesan.PNG,3280円,ホウエン地方,ルネジム,6,,
408,ハルコ,おとなのおねえさん,3,ルビー・サファイア,キバンイア,ホエルコ,サメハダー,,,,02_onesan.PNG,3120円,ホウエン地方,ルネジム,6,,
409,ナオコ,おとなのおねえさん,3,ルビー・サファイア,ハスブレロ,,,,,,02_onesan.PNG,3280円,ホウエン地方,ルネジム,6,,
410,セイラ,おとなのおねえさん,3,ルビー・サファイア,チルタリス,スターミー,レジアイス,,,,02_onesan.PNG,,ホウエン地方,トクサネシティ,6,,
411,リエ,おとなのおねえさん,3,ルビー・サファイア,ポワルン,ドガース,チリーン,,,,02_onesan.PNG,,ホウエン地方,トクサネシティ,6,,
412,ユカ,おとなのおねえさん,3,ルビー・サファイア,ヤミラミ,ブーピッグ,パールル,,,,02_onesan.PNG,,ホウエン地方,トクサネシティ,6,,
413,ショウ,おとなのおねえさん,3b,エメラルド,ホエルコ（ホエルオー）,タッツー（シードラ、キングドラ）,ラブカス,,,,02_onesan.PNG,2000円、2720円、2880円、3040円、3200円,ホウエン地方,すてられぶね,8,,
414,カズサ,おとなのおねえさん,3b,エメラルド,キュウコン,ゴルダック,フーディン,マタドガス,ランターン,ジュカイン他,02_onesan.PNG,,ホウエン地方,バトルタワー,8,,
415,ナミコ,おとなのおねえさん,3b,エメラルド,タマザラシ,バネブー,ポチエナ,,,,02_onesan.PNG,,ホウエン地方,トレーナーヒル,8,,
416,マイコ,おとなのおねえさん,3b,エメラルド,ハクリュー,ラフレシア,オコリザル,ノクタス,パッチール,サボネア,02_onesan.PNG,,ホウエン地方,トレーナーヒル,8,,
417,ツキカ,おとなのおねえさん,3b,エメラルド,ソルロック,エーフィ,バタフリー,ルナトーン,ブラッキー,モルフォン,02_onesan.PNG,,ホウエン地方,トレーナーヒル,8,,
418,ヨウコ,おとなのおねえさん,4,ダイヤモンド・パール,ロゼリア,,,,,,02_onesan.PNG,952円,シンオウ地方,ハクタイジム,9,,
419,サオリ,おとなのおねえさん,4,ダイヤモンド・パール,ケイコウオ,,,,,,02_onesan.PNG,1288円,シンオウ地方,レストランななつぼし,9,,
420,ルゥ,おとなのおねえさん,4,ダイヤモンド・パール,コダック,,,,,,02_onesan.PNG,1288円,シンオウ地方,レストランななつぼし,9,,
421,ルミコ,おとなのおねえさん,4,ダイヤモンド・パール,ニャルマー（ブニャット）,,,,,,02_onesan.PNG,1288円、2240円、3360円,シンオウ地方,213ばんどうろ,9,,
422,アケミ,おとなのおねえさん,4,ダイヤモンド・パール,ミノマダム,,,,,,02_onesan.PNG,1400円,シンオウ地方,214ばんどうろ,9,,
423,ノリカ,おとなのおねえさん,4,ダイヤモンド・パール,ミミロップ,,,,,,02_onesan.PNG,2408円,シンオウ地方,222ばんどうろ,9,,
424,マフユ,おとなのおねえさん,5b,ブラック2・ホワイト2,モココ,,,,,,02_onesan.PNG,1344円,イッシュ地方,ライモンシティ,13,,
425,テスラ,おとなのおねえさん,5b,ブラック2・ホワイト2,エレキッド,モココ,,,,,02_onesan.PNG,1512円,イッシュ地方,ライモンジム,13,,
426,フルミー,おとなのおねえさん,5b,ブラック2・ホワイト2,モココ,シママ,,,,,02_onesan.PNG,1512円,イッシュ地方,ライモンジム,13,,
427,アンペール,おとなのおねえさん,5b,ブラック2・ホワイト2,シママ,エレキッド,,,,,02_onesan.PNG,1512円,イッシュ地方,ライモンジム,13,,
428,ブリジット,おとなのおねえさん,6,X・Y,ニャスパー,バタフリー,,,,,02_onesan.PNG,960円,カロス地方,6ばんどうろ,14,,
429,カルーセル,おとなのおねえさん,6,X・Y,シードラ,,,,,,02_onesan.PNG,680円,カロス地方,ミアレシティ路地裏,14,,
430,ドゥ,おとなのおねえさん,6,X・Y,ヒノヤコマ,,,,,,02_onesan.PNG,680円,カロス地方,ミアレシティ路地裏,14,,
431,トロワ,おとなのおねえさん,6,X・Y,ロゼリア,,,,,,02_onesan.PNG,680円,カロス地方,ミアレシティ路地裏,14,,
432,カナミ,おとなのおねえさん,7,サン・ムーン,ゴース,,,,,,02_onesan.PNG,288円,アローラ地方,2ばんどうろ,16,,
433,レイコ,おとなのおねえさん,7,サン・ムーン,カラカラ,,,,,,02_onesan.PNG,544円,アローラ地方,6ばんどうろ,16,,
434,アキナ,おとなのおねえさん,7,サン・ムーン,アママイコ,,,,,,02_onesan.PNG,864円,アローラ地方,10ばんどうろ,16,,
435,ネーブル,おとなのおねえさん,7,サン・ムーン,アブリー（アブリボン）,,,,,,02_onesan.PNG,416円、1760円,アローラ地方,バトルバイキング,16,,
436,ボタン,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,トサキント,,,,,,02_onesan.PNG,320円,カントー地方,ハナダジム,18,,
437,アヤメ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,シェルダー,,,,,,02_onesan.PNG,320円,カントー地方,ハナダジム,18,,
438,サクラ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,パウワウ,,,,,,02_onesan.PNG,320円,カントー地方,ハナダジム,18,,
439,ナナ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,ポッポ,ピカチュウ,,,,,02_onesan.PNG,1020円とモンスターボール3個,カントー地方,サント・アンヌごう,18,,
440,モモカ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,ピッピ,,,,,,02_onesan.PNG,1560円とモンスターボール3個,カントー地方,8ばんどうろ,18,,
441,マイ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,タマタマ,,,,,,02_onesan.PNG,1740円,カントー地方,タマムシジム,18,,
442,レイコ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,マダツボミ,ウツドン,,,,,02_onesan.PNG,1740円,カントー地方,タマムシジム,18,,
443,ヒトミ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,クサイハナ,,,,,,02_onesan.PNG,1740円,カントー地方,タマムシジム,18,,
444,サユミ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,ラッキー,,,,,,02_onesan.PNG,2220円とモンスターボール3個,カントー地方,13ばんどうろ,18,,
445,クニミ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,イーブイ,ペルシアン,,,,,02_onesan.PNG,2220円とモンスターボール3個,カントー地方,13ばんどうろ,18,,
446,ナオコ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,ガーディ,ガーディ,ガーディ,,,,02_onesan.PNG,2220円とモンスターボール3個,カントー地方,15ばんどうろ,18,,
447,ヨウコ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,サンダース,,,,,,02_onesan.PNG,2220円とモンスターボール3個,カントー地方,17ばんどうろ,18,,
448,テイコ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,ウツドン,,,,,,02_onesan.PNG,2220円とモンスターボール3個,カントー地方,17ばんどうろ,18,,
449,エツコ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,ゴルダック,パルシェン,,,,,02_onesan.PNG,820円とモンスターボール3個,カントー地方,19ばんすいどう,18,,
450,マユコ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,シャワーズ,,,,,,02_onesan.PNG,820円とモンスターボール3個,カントー地方,19ばんすいどう,18,,
451,ナオミ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,パウワウ,アズマオウ,,,,,02_onesan.PNG,820円とモンスターボール3個,カントー地方,19ばんすいどう,18,,
452,アサミ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,カメール,スターミー,,,,,02_onesan.PNG,820円とモンスターボール3個,カントー地方,20ばんすいどう,18,,
453,ナツミ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,ヤドラン,,,,,,02_onesan.PNG,860円とモンスターボール3個,カントー地方,20ばんすいどう,18,,
454,リリカ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,パルシェン,,,,,,02_onesan.PNG,820円とモンスターボール3個,カントー地方,20ばんすいどう,18,,
455,メグミ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,アズマオウ,ルージュラ,,,,,02_onesan.PNG,860円とモンスターボール3個,カントー地方,20ばんすいどう,18,,
456,リカコ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,ゼニガメ,,,,,,02_onesan.PNG,,カントー地方,12ばんどうろ,18,,
457,ミナミ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,カメール,,,,,,02_onesan.PNG,,カントー地方,20ばんすいどう,18,,
458,ハルナ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,カメックス,,,,,,02_onesan.PNG,,カントー地方,20ばんすいどう,18,,
459,ニコル,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,コダック,,,,,,02_onesan.PNG,,カントー地方,21ばんすいどう,18,,
460,ヒロミ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,ゴルダック,,,,,,02_onesan.PNG,,カントー地方,4ばんどうろ,18,,
461,フミコ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,ヤドン,,,,,,02_onesan.PNG,,カントー地方,21ばんすいどう,18,,
462,ハルカ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,ヤドラン,,,,,,02_onesan.PNG,,カントー地方,21ばんすいどう,18,,
463,ユキ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,パウワウ,,,,,,02_onesan.PNG,,カントー地方,ふたごじま,18,,
464,レイナ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,ジュゴン,,,,,,02_onesan.PNG,,カントー地方,ふたごじま,18,,
465,マリコ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,シェルダー,,,,,,02_onesan.PNG,,カントー地方,19ばんすいどう,18,,
466,ミレイ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,パルシェン,,,,,,02_onesan.PNG,,カントー地方,20ばんすいどう,18,,
467,カオリ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,タッツー,,,,,,02_onesan.PNG,,カントー地方,19ばんすいどう,18,,
468,ケイ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,シードラ,,,,,,02_onesan.PNG,,カントー地方,12ばんどうろ,18,,
469,マリヤ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,トサキント,,,,,,02_onesan.PNG,,カントー地方,12ばんどうろ,18,,
470,アスカ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,アズマオウ,,,,,,02_onesan.PNG,,カントー地方,13ばんどうろ,18,,
471,マリエ,おとなのおねえさん,pv,Let's go!ピカチュウ・Let's go!イーブイ,ヒトデマン,,,,,,02_onesan.PNG,,カントー地方,19ばんすいどう,18,,
472,マミ,おとなのおねえさん,8,ソード・シールド,ピッピ,ピクシー,,,,,02_onesan.PNG,2880円,ガラル地方,6ばんどうろ,19,,
473,マイク,ジプシージャグラー,2,金・銀,ビリリダマ,ビリリダマ,ビリリダマ,ビリリダマ（マルマイン）,,,02_juggler.PNG,560円、720円、1200円,ジョウト地方,35ばんどうろ,4,,
474,ジョニー,ジプシージャグラー,2,金・銀,バリヤード,ゴーリキー,ブーバー,,,,02_juggler.PNG,1160円,ジョウト地方,アクアごう,4,,
475,ジョナサン,ジプシージャグラー,2,金・銀,マルマイン,マルマイン,マルマイン,マルマイン,,,02_juggler.PNG,1320円,ジョウト地方,クチバジム,4,,
476,テリー,ジャグラー,1c,ファイアレッド・リーフグリーン,ユンゲラー,バリヤード,,,,,02_juggler.PNG,1160円,カントー地方,シルフカンパニー,7,,
477,トニー,ジャグラー,1c,ファイアレッド・リーフグリーン,スリープ,ユンゲラー,,,,,02_juggler.PNG,1360円,カントー地方,セキチクジム,7,,
478,レン,ジャグラー,1c,ファイアレッド・リーフグリーン,スリーパー,,,,,,02_juggler.PNG,1520円,カントー地方,セキチクジム,7,,
479,ジョージ,ジャグラー,1c,ファイアレッド・リーフグリーン,スリープ,スリープ,スリープ,ユンゲラー,,,02_juggler.PNG,1240円,カントー地方,セキチクジム,7,,
480,マイク,ジャグラー,1c,ファイアレッド・リーフグリーン,スリープ,スリーパー,,,,,02_juggler.PNG,1360円,カントー地方,セキチクジム,7,,
481,ナミオ,ジャグラー,1c,ファイアレッド・リーフグリーン,スリープ,スリーパー,ユンゲラー,ユンゲラー,,,02_juggler.PNG,1640円,カントー地方,チャンピオンロード,7,,
482,コリン,ジャグラー,1c,ファイアレッド・リーフグリーン,バリヤード,,,,,,02_juggler.PNG,1920円,カントー地方,チャンピオンロード,7,,
483,アキト,ジャグラー,1c,ファイアレッド・リーフグリーン,ビリリダマ,ビリリダマ,マルマイン,バリヤード,,,02_juggler.PNG,1920円,カントー地方,みずのさんぽみち,7,,
484,トーマ,ジャグラー,1c,ファイアレッド・リーフグリーン,ビリリダマ（マルマイン）,ビリリダマ（マルマイン）,クヌギダマ,クヌギダマ,,,02_juggler.PNG,1880円、2080円,カントー地方,けいこくいりぐち,7,,
485,マイケル,ジャグラー,1c,ファイアレッド・リーフグリーン,マルマイン,ビリリダマ,マタドガス,ゴローニャ,タマタマ,フォレトス,02_juggler.PNG,,カントー地方,トレーナータワー,7,,
486,シュウイチ,じゅくがえり,2,金・銀,ナゾノクサ（クサイハナ、ラフレシア）,ビリリダマ（マルマイン）,ガーディ,,,,02_jukugaeri.PNG,480円、544円、992円、1056円、1184円,ジョウト地方,しぜんこうえん,4,,
487,マナブ,じゅくがえり,2,金・銀,モンジャラ,ヤンヤンマ,ネイティ（ネイティオ）,ヌオー,,,02_jukugaeri.PNG,320円、544円、800円、960円、1120円,ジョウト地方,36ばんどうろ,4,,
488,クリオ,じゅくがえり,2,金・銀,バリヤード,コイル（レアコイル）,,,,,02_jukugaeri.PNG,608円、608円、992円、1088円、1216円,ジョウト地方,38ばんどうろ,4,,
489,マサユキ,じゅくがえり,2,金・銀,レディアン,ナッシー,,,,,02_jukugaeri.PNG,1024円,ジョウト地方,アクアごう,4,,
490,アツシ,じゅくがえり,2,金・銀,エイパム,メタモン,,,,,02_jukugaeri.PNG,1024円,ジョウト地方,アクアごう,4,,
491,ケンジ,じゅくがえり,2,金・銀,ナゾノクサ,,,,,,02_jukugaeri.PNG,1120円,ジョウト地方,25ばんどうろ,4,,
492,シンスケ,じゅくがえり,2,金・銀,モンジャラ,シャワーズ,,,,,02_jukugaeri.PNG,1056円,ジョウト地方,25ばんどうろ,4,,
493,キミヤス,じゅくがえり,2,金・銀,マダツボミ,ウツドン,ウツボット,,,,02_jukugaeri.PNG,1056円,ジョウト地方,15ばんどうろ,4,,
494,キイチ,じゅくがえり,2,金・銀,パラス,パラス,ニョロゾ,メタモン,,,02_jukugaeri.PNG,1120円,ジョウト地方,15ばんどうろ,4,,
495,カズヒデ,じゅくがえり,2,金・銀,ネイティオ,フーディン,,,,,02_jukugaeri.PNG,1088円,ジョウト地方,15ばんどうろ,4,,
496,トモユキ,じゅくがえり,2,金・銀,ビリリダマ,ビリリダマ,レアコイル,コイル,,,02_jukugaeri.PNG,992円,ジョウト地方,15ばんどうろ,4,,
497,ノリタカ,じゅくがえり,2,金・銀,ルージュラ,エレブー,ブーバー,,,,02_jukugaeri.PNG,992円,ジョウト地方,1ばんどうろ,4,,
498,ヒデオ,じゅくがえり,3,ルビー・サファイア,ラルトス（キルリア）,アサナン（チャーレム）,ジュペッタ,,,,03_jukugaeri_m.PNG,200円、520円、580円、640円、680円,ホウエン地方,116ばんどうろ,6,,
499,ハツネ,じゅくがえり,3,ルビー・サファイア,キノココ（キノガッサ）,ゴニョニョ（ドゴーム、バクオング）,,,,,03_jukugaeri_f.PNG,180円、520円、580円、640円、700円,ホウエン地方,116ばんどうろ,6,,
500,ノブヒサ,じゅくがえり,3,ルビー・サファイア,ラルトス,,,,,,03_jukugaeri_m.PNG,340円,ホウエン地方,カラクリやしき,6,,
501,カツトシ,じゅくがえり,3,ルビー・サファイア,ドンメル,ナゾノクサ,キャモメ,,,,03_jukugaeri_m.PNG,300円,ホウエン地方,カラクリやしき,6,,
502,ミキエ,じゅくがえり,3,ルビー・サファイア,キノココ,アゲハント,,,,,03_jukugaeri_f.PNG,320円,ホウエン地方,カラクリやしき,6,,
503,ユキコ,じゅくがえり,3,ルビー・サファイア,チルタリス,キノガッサ,ケッキング,,,,03_jukugaeri_f.PNG,,ホウエン地方,トクサネシティ,6,,
504,トモヤス,じゅくがえり,3,ルビー・サファイア,キノガッサ,ライボルト,サマヨール,,,,03_jukugaeri_m.PNG,,ホウエン地方,トクサネシティ,6,,
505,チサ,じゅくがえり,3,ルビー・サファイア,ルリリ,ソーナノ,ピチュー,,,,03_jukugaeri_f.PNG,,ホウエン地方,トクサネシティ,6,,
506,ケイジ,じゅくがえり,3b,エメラルド,キュウコン,カイリキー,ツボツボ,グラエナ,マッスグマ,ライボルト他,03_jukugaeri_m.PNG,,ホウエン地方,バトルタワー,8,,
507,ヨウカ,じゅくがえり,3b,エメラルド,オニドリル,ライチュウ,プクリン,スターミー,キングドラ,ダーテング他,03_jukugaeri_f.PNG,,ホウエン地方,バトルタワー,8,,
508,メイコ,じゅくがえり,3b,エメラルド,エネコロロ,ロゼリア,アゲハント,,,,03_jukugaeri_f.PNG,,ホウエン地方,トレーナーヒル,8,,
509,カエ,じゅくがえり,3b,エメラルド,サクラビス,ルンパッパ,ユレイドル,ハッサム,ヘラクロス,アーマルド,03_jukugaeri_f.PNG,,ホウエン地方,トレーナーヒル,8,,
510,サキテル,じゅくがえり,3b,エメラルド,ピッピ,トゲチック,オオタチ,ピクシー,トゲピー,オタチ,03_jukugaeri_m.PNG,,ホウエン地方,トレーナーヒル,8,,
